name	dex	types	gen	height_m	weight_kg
bulbasaur	1	Grass/Poison	1	0.7	6.9
ivysaur	2	Grass/Poison	1	1.0	13.0
venusaur	3	Grass/Poison	1	2.0	100.0
charmander	4	Fire	1	0.6	8.5
charmeleon	5	Fire	1	1.1	19.0
charizard	6	Fire/Flying	1	1.7	90.5
squirtle	7	Water	1	0.5	9.0
wartortle	8	Water	1	1.0	22.5
blastoise	9	Water	1	1.6	85.5
caterpie	10	Bug	1	0.3	2.9
metapod	11	Bug	1	0.7	9.9
butterfree	12	Bug/Flying	1	1.1	32.0
weedle	13	Bug/Poison	1	0.3	3.2
kakuna	14	Bug/Poison	1	0.6	10.0
beedrill	15	Bug/Poison	1	1.0	29.5
pidgey	16	Normal/Flying	1	0.3	1.8
pidgeotto	17	Normal/Flying	1	1.1	30.0
pidgeot	18	Normal/Flying	1	1.5	39.5
rattata	19	Normal	1	0.3	3.5
raticate	20	Normal	1	0.7	18.5
spearow	21	Normal/Flying	1	0.3	2.0
fearow	22	Normal/Flying	1	1.2	38.0
ekans	23	Poison	1	2.0	6.9
arbok	24	Poison	1	3.5	65.0
pikachu	25	Electric	1	0.4	6.0
raichu	26	Electric	1	0.8	30.0
sandshrew	27	Ground	1	0.6	12.0
sandslash	28	Ground	1	1.0	29.5
nidoran-f	29	Poison	1	0.4	7.0
nidorina	30	Poison	1	0.8	20.0
nidoqueen	31	Poison/Ground	1	1.3	60.0
nidoran-m	32	Poison	1	0.5	9.0
nidorino	33	Poison	1	0.9	19.5
nidoking	34	Poison/Ground	1	1.4	62.0
clefairy	35	Fairy	1	0.6	7.5
clefable	36	Fairy	1	1.3	40.0
vulpix	37	Fire	1	0.6	9.9
ninetales	38	Fire	1	1.1	19.9
jigglypuff	39	Normal/Fairy	1	0.5	5.5
wigglytuff	40	Normal/Fairy	1	1.0	12.0
zubat	41	Poison/Flying	1	0.8	7.5
golbat	42	Poison/Flying	1	1.6	55.0
oddish	43	Grass/Poison	1	0.5	5.4
gloom	44	Grass/Poison	1	0.8	8.6
vileplume	45	Grass/Poison	1	1.2	18.6
paras	46	Bug/Grass	1	0.3	5.4
parasect	47	Bug/Grass	1	1.0	29.5
venonat	48	Bug/Poison	1	1.0	30.0
venomoth	49	Bug/Poison	1	1.5	12.5
diglett	50	Ground	1	0.2	0.8
dugtrio	51	Ground	1	0.7	33.3
meowth	52	Normal	1	0.4	4.2
persian	53	Normal	1	1.0	32.0
psyduck	54	Water	1	0.8	19.6
golduck	55	Water	1	1.7	76.6
mankey	56	Fighting	1	0.5	28.0
primeape	57	Fighting	1	1.0	32.0
growlithe	58	Fire	1	0.7	19.0
arcanine	59	Fire	1	1.9	155.0
poliwag	60	Water	1	0.6	12.4
poliwhirl	61	Water	1	1.0	20.0
poliwrath	62	Water/Fighting	1	1.3	54.0
abra	63	Psychic	1	0.9	19.5
kadabra	64	Psychic	1	1.3	56.5
alakazam	65	Psychic	1	1.5	48.0
machop	66	Fighting	1	0.8	19.5
machoke	67	Fighting	1	1.5	70.5
machamp	68	Fighting	1	1.6	130.0
bellsprout	69	Grass/Poison	1	0.7	4.0
weepinbell	70	Grass/Poison	1	1.0	6.4
victreebel	71	Grass/Poison	1	1.7	15.5
tentacool	72	Water/Poison	1	0.9	45.5
tentacruel	73	Water/Poison	1	1.6	55.0
geodude	74	Rock/Ground	1	0.4	20.0
graveler	75	Rock/Ground	1	1.0	105.0
golem	76	Rock/Ground	1	1.4	300.0
ponyta	77	Fire	1	1.0	30.0
rapidash	78	Fire	1	1.7	95.0
slowpoke	79	Water/Psychic	1	1.2	36.0
slowbro	80	Water/Psychic	1	1.6	78.5
magnemite	81	Electric/Steel	1	0.3	6.0
magneton	82	Electric/Steel	1	1.0	60.0
farfetchd	83	Normal/Flying	1	0.8	15.0
doduo	84	Normal/Flying	1	1.4	39.2
dodrio	85	Normal/Flying	1	1.8	85.2
seel	86	Water	1	1.1	90.0
dewgong	87	Water/Ice	1	1.7	120.0
grimer	88	Poison	1	0.9	30.0
muk	89	Poison	1	1.2	30.0
shellder	90	Water	1	0.3	4.0
cloyster	91	Water/Ice	1	1.5	132.5
gastly	92	Ghost/Poison	1	1.3	0.1
haunter	93	Ghost/Poison	1	1.6	0.1
gengar	94	Ghost/Poison	1	1.5	40.5
onix	95	Rock/Ground	1	8.8	210.0
drowzee	96	Psychic	1	1.0	32.4
